nome,palestra
Francisco José Garcia Figuereido ,Educação Animalista De Direito Animal 
Lindally Gonzaga Ferreira Tomé De Sousa,Educação Animalista De Direito Animal 
Márcia Viana Da Silva,Horta Comunitária: Uma Experiência Interdisciplinar No Curso Técnico Em Controle Ambiental Do Ifpb Campus João Pessoa
André Santana,Futuro Do Trabalho E Economia Colaborativa 
Bruna Toso Tavares,Sustentabilidade Em Cena: Produções Audiovisuais Sobre Bioeconomia
Maraisa de Oliveira Rodrigues,Criação de um petshop de sucesso
