nome,palestra,data
Mychelline Souto Cunha,Introdução ao desenvolvimento de Games,26 de Novembro de 2019
Maria Vitória Soares de lima,Introdução ao desenvolvimento de Games,26 de Novembro de 2019
Jessica Larissa Brito de Andrade,Introdução ao desenvolvimento de Games,26 de Novembro de 2019
Kananda Vitória Arão de Souza,Introdução ao desenvolvimento de Games,26 de Novembro de 2019
Everaldo Domingos Correia,COOREMM: Por Uma Coleta Seletiva Solidária,26 de Novembro de 2019
Daniel Gomes De Jesus,COOREMM: Por Uma Coleta Seletiva Solidária,26 de Novembro de 2019


